bin_id,pgn,count,iat_count,jitter_count,sum_iat,max_iat,sum_jitter
1774597173,130316,1,1,1,560,560,0
1774597173,130323,1,1,1,269,269,1
1774597173,130577,1,1,1,260,260,40
1774597173,130578,5,5,5,311,101,145
1774597173,130843,10,10,10,261,80,186
1774597173,65280,26,26,26,710,89,596
1774597173,126992,9,9,9,810,220,1120
1774597173,127245,53,53,53,730,50,590
1774597173,127250,107,107,107,730,61,1051
1774597173,127251,29,29,29,720,89,609
1774597173,127252,26,26,26,719,90,590
1774597173,127257,27,27,27,750,80,616
1774597173,127258,27,27,27,749,89,579
1774597173,127488,53,53,53,720,81,1269
1774597173,127493,54,54,54,740,81,1396
1774597173,129025,44,44,44,750,80,947
1774597173,129026,14,14,14,750,109,539
1774597173,129029,6,6,6,810,260,1380
1774597173,129038,1,1,1,151,151,378
1774597173,129539,3,3,3,811,271,3
1774597173,129540,2,2,2,540,280,40
1774597173,130306,11,11,11,750,120,502
1774597173,130310,5,5,5,699,160,239
1774597173,130311,6,6,6,810,180,468
1774597173,130312,2,2,2,861,541,272
1774597173,130314,2,2,2,860,540,269
1774597173,130316,1,1,1,549,549,11
1774597173,130323,3,3,3,810,271,4
1774597173,130577,3,3,3,810,270,10
1774597173,130578,10,10,10,699,110,433
1774597173,130843,27,27,27,750,80,534
1774597174,65280,7,7,7,249,71,182
1774597174,127245,15,15,15,269,41,144
1774597174,127250,29,29,29,239,69,398
1774597174,127251,8,8,8,240,70,192
1774597174,127252,8,8,8,241,70,170
1774597174,127257,8,8,8,240,79,188
1774597174,127258,8,8,8,231,79,181
1774597174,127488,16,16,16,240,70,475
1774597174,127493,16,16,16,240,70,439
1774597174,129025,12,12,12,239,71,323
1774597174,129026,3,3,3,260,130,135
1774597174,129540,1,1,1,270,270,10
1774597174,130306,2,2,2,190,120,70
1774597174,130310,1,1,1,121,121,38
1774597174,130311,1,1,1,190,190,100
1774597174,130578,3,3,3,261,130,99
1774597174,130843,8,8,8,239,71,171
1774597174,65280,29,29,29,771,79,524
1774597174,126992,9,9,9,950,359,1404
1774597174,127245,56,56,56,731,51,500
1774597174,127250,113,113,113,761,61,1191
1774597174,127251,31,31,31,760,79,666
1774597174,127252,28,28,28,760,80,637
1774597174,127257,28,28,28,769,80,679
1774597174,127258,28,28,28,770,89,584
1774597174,127488,56,56,56,760,80,1404
1774597174,127493,56,56,56,761,80,1379
1774597174,129025,45,45,45,761,80,1004
1774597174,129026,14,14,14,760,101,558
1774597174,129029,6,6,6,951,400,1662
1774597174,129038,1,1,1,1220,1220,1069
1774597174,129539,3,3,3,949,410,281
1774597174,129540,3,3,3,950,410,290
1774597174,130306,12,12,12,820,130,413
1774597174,130310,6,6,6,940,289,514
1774597174,130311,6,6,6,761,171,383
1774597174,130312,3,3,3,951,540,709
1774597174,130314,3,3,3,959,540,701
1774597174,130316,2,2,2,1211,671,253
1774597174,130323,3,3,3,951,410,281
1774597174,130577,3,3,3,950,410,290
1774597174,130578,11,11,11,759,100,375
1774597174,130843,28,28,28,761,80,495
1774597175,65280,9,9,9,260,80,200
1774597175,126992,3,3,3,280,220,380
1774597175,127245,18,18,18,260,41,184
1774597175,127250,39,39,39,270,70,424
1774597175,127251,11,11,11,279,71,172
